Fecha;ManPred
04/01/2021;0,69
05/01/2021;1,18
06/01/2021;1,18
11/01/2021;1,22
13/01/2021;1,24
21/01/2021;1,24
28/01/2021;0,84
29/01/2021;-0,57
01/02/2021;-0,15
02/02/2021;-0,68
03/02/2021;-0,84
08/02/2021;-0,84
10/02/2021;-0,86
19/02/2021;-0,86
01/03/2021;-1,3
02/03/2021;-1,3
03/03/2021;-1,23
08/03/2021;-1,24
10/03/2021;-1,38
17/03/2021;-1,4
26/03/2021;-1,63
05/04/2021;-0,72
07/04/2021;-0,62
09/04/2021;-0,59
12/04/2021;-0,46
15/04/2021;-0,47
29/04/2021;-0,85
30/04/2021;-0,46
04/05/2021;-0,43
05/05/2021;0,77
07/05/2021;0,77
12/05/2021;0,74
17/05/2021;0,75
01/06/2021;0,85
02/06/2021;1,19
03/06/2021;1,54
07/06/2021;1,56
09/06/2021;1,3
17/06/2021;1,3
24/06/2021;1,32
01/07/2021;0,95
02/07/2021;1,37
05/07/2021;1,38
06/07/2021;1,41
09/07/2021;1,35
16/07/2021;1,31
29/07/2021;1,29
30/07/2021;1,46
02/08/2021;0,47
03/08/2021;2,13
04/08/2021;2,15
06/08/2021;2,1
10/08/2021;1,94
19/08/2021;1,93
01/09/2021;1,72
02/09/2021;2,39
03/09/2021;2,39
08/09/2021;2,36
10/09/2021;2,24
20/09/2021;2,2
23/09/2021;1,34
01/10/2021;0,54
04/10/2021;0,69
05/10/2021;0,68
06/10/2021;0,66
11/10/2021;0,67
19/10/2021;0,68
28/10/2021;0,96
29/10/2021;0,67
02/11/2021;1,69
03/11/2021;1,7
05/11/2021;1,66
12/11/2021;1,72
22/11/2021;1,72
01/12/2021;1,82
02/12/2021;2,21
03/12/2021;2,24
10/12/2021;2,06
13/12/2021;1,95
17/12/2021;1,98
23/12/2021;2,26
03/01/2022;0,22
04/01/2022;0,69
05/01/2022;0,68
11/01/2022;0,73
12/01/2022;0,83
20/01/2022;0,83
28/01/2022;0,38
01/02/2022;-0,35
02/02/2022;0,87
03/02/2022;0,73
08/02/2022;0,64
09/02/2022;0,6
17/02/2022;0,62
01/03/2022;0,62
02/03/2022;0,83
03/03/2022;0,92
08/03/2022;0,78
09/03/2022;1,11
17/03/2022;1,07
25/03/2022;1,15
01/04/2022;0,74
04/04/2022;0,74
05/04/2022;0,69
08/04/2022;0,71
18/04/2022;0,7
20/04/2022;0,45
29/04/2022;0,22
03/05/2022;-0,18
04/05/2022;0,83
06/05/2022;0,71
12/05/2022;0,54
17/05/2022;0,51
18/05/2022;1,74
01/06/2022;1,25
02/06/2022;1,6
03/06/2022;1,56
07/06/2022;1,56
08/06/2022;1,15
15/06/2022;1,14
16/06/2022;1,21
24/06/2022;1,17
01/07/2022;0,44
04/07/2022;0,5
05/07/2022;0,47
06/07/2022;0,45
11/07/2022;0,39
18/07/2022;0,4
20/07/2022;0,65
29/07/2022;0,57
01/08/2022;0,34
02/08/2022;0,59
03/08/2022;0,59
05/08/2022;0,63
10/08/2022;0,28
17/08/2022;-0,22
18/08/2022;-0,21
01/09/2022;-0,76
02/09/2022;-0,4
05/09/2022;-0,45
08/09/2022;-0,3
09/09/2022;-0,31
20/09/2022;-0,31
21/09/2022;-0,29
23/09/2022;-0,19
03/10/2022;0,3
04/10/2022;0,54
05/10/2022;0,52
06/10/2022;0,54
11/10/2022;0,58
18/10/2022;0,59
19/10/2022;0,59
28/10/2022;0,6
02/11/2022;0,29
03/11/2022;0,39
04/11/2022;0,41
11/11/2022;0,66
16/11/2022;0,58
17/11/2022;0,56
01/12/2022;0,48
02/12/2022;0,47
05/12/2022;0,5
09/12/2022;0,43
13/12/2022;0,51
15/12/2022;0,44
21/12/2022;0,4
23/12/2022;0,32
03/01/2023;0,27
04/01/2023;0,27
11/01/2023;0,13
18/01/2023;0,04
19/01/2023;0,04
27/01/2023;0,01
01/02/2023;0,18
02/02/2023;0,19
03/02/2023;0,21
07/02/2023;0,31
08/02/2023;0,48
15/02/2023;0,2
16/02/2023;0,21
01/03/2023;0,45
02/03/2023;0,45
03/03/2023;0,5
07/03/2023;0,4
09/03/2023;0,63
15/03/2023;0,65
16/03/2023;0,56
24/03/2023;0,55
03/04/2023;0,53
04/04/2023;0,67
05/04/2023;0,7
12/04/2023;0,73
19/04/2023;0,73
20/04/2023;0,7
04/05/2023;0,85
05/05/2023;0,95
12/05/2023;0,95
17/05/2023;1,01
18/05/2023;1
01/06/2023;0,98
02/06/2023;1,02
05/06/2023;1,02
06/06/2023;0,75
08/06/2023;0,47
15/06/2023;0,49
21/06/2023;0,61
23/06/2023;0,65
04/07/2023;0,43
05/07/2023;0,42
11/07/2023;0,18
20/07/2023;0,1
01/08/2023;0,42
02/08/2023;0,57
03/08/2023;0,56
04/08/2023;0,54
09/08/2023;0,45
16/08/2023;0,41
17/08/2023;0,41
04/09/2023;0,42
05/09/2023;0,32
08/09/2023;0,04
20/09/2023;-0,03
21/09/2023;-0,01
22/09/2023;0,1
03/10/2023;0,06
04/10/2023;0,07
05/10/2023;-0,04
11/10/2023;-0,17
18/10/2023;-0,14
19/10/2023;-0,19
03/11/2023;0,57
06/11/2023;0,57
07/11/2023;0,61
10/11/2023;0,67
15/11/2023;0,63
17/11/2023;0,62
04/12/2023;0,66
05/12/2023;0,63
13/12/2023;0,43
18/12/2023;0,38
20/12/2023;0,39
22/12/2023;0,39
03/01/2024;0,43
04/01/2024;0,43
11/01/2024;0,6
17/01/2024;0,58
18/01/2024;0,54
30/01/2024;0,6
02/02/2024;0,7
05/02/2024;0,71
07/02/2024;0,7
08/02/2024;0,7
19/02/2024;0,65
21/02/2024;0,55
04/03/2024;0,68
05/03/2024;0,7
08/03/2024;0,73
11/03/2024;0,8
18/03/2024;0,78
20/03/2024;0,73
26/03/2024;0,71
02/04/2024;0,75
04/04/2024;0,77
05/04/2024;0,83
10/04/2024;0,79
